#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.26,151.58141,100000.00000
0.250,0.03273676,0.53,39.28570,100000.00000
0.250,0.03273676,0.40,20.38285,100000.00000
0.250,0.03273676,0.02,165.93736,100000.00000
0.250,0.03273676,0.39,32.68759,100000.00000
0.250,0.03273676,0.18,50.73386,100000.00000
0.250,0.03273676,0.57,111.35005,100000.00000
0.250,0.03273676,0.04,138.77409,100000.00000
0.250,0.03273676,0.55,16.46763,100000.00000
0.250,0.03273676,0.06,60.77073,100000.00000
0.250,0.03273676,0.14,6.72267,100000.00000
0.250,0.03273676,0.06,174.92077,100000.00000
0.250,0.03273676,0.27,139.01731,100000.00000
0.250,0.03273676,0.23,178.73366,100000.00000
0.250,0.03273676,0.55,159.08146,100000.00000
0.250,0.03273676,0.43,118.60631,100000.00000
0.250,0.03273676,0.13,178.20969,100000.00000
0.250,0.03273676,0.60,117.81202,31705.16178
0.250,0.03273676,0.43,48.73404,100000.00000
0.250,0.03273676,0.25,75.28375,100000.00000
0.250,0.03273676,0.30,165.75703,100000.00000
0.250,0.03273676,0.58,111.04685,100000.00000
0.250,0.03273676,0.15,150.47642,100000.00000
0.250,0.03273676,0.30,7.07618,100000.00000
0.250,0.03273676,0.29,176.40586,100000.00000
0.250,0.03273676,0.58,19.25652,100000.00000
0.250,0.03273676,0.17,169.24144,100000.00000
0.250,0.03273676,0.08,96.43944,100000.00000
0.250,0.03273676,0.06,154.93150,100000.00000
0.250,0.03273676,0.11,35.14374,100000.00000
0.250,0.03273676,0.23,116.85785,100000.00000
0.250,0.03273676,0.24,63.60340,100000.00000
0.250,0.03273676,0.51,21.70204,100000.00000
0.250,0.03273676,0.13,126.44714,100000.00000
0.250,0.03273676,0.20,1.95078,100000.00000
0.250,0.03273676,0.59,104.79068,4210.40376
0.250,0.03273676,0.50,6.11028,100000.00000
0.250,0.03273676,0.27,171.72919,100000.00000
0.250,0.03273676,0.36,32.62195,100000.00000
0.250,0.03273676,0.41,81.39923,100000.00000
0.250,0.03273676,0.52,142.33017,100000.00000
0.250,0.03273676,0.58,133.83149,48179.53832
0.250,0.03273676,0.58,148.64702,38323.12552
0.250,0.03273676,0.58,51.66686,89616.98532
0.250,0.03273676,0.49,123.91243,100000.00000
0.250,0.03273676,0.09,61.39194,100000.00000
0.250,0.03273676,0.07,26.08108,100000.00000
0.250,0.03273676,0.51,13.85158,100000.00000
0.250,0.03273676,0.19,125.41269,100000.00000
0.250,0.03273676,0.09,166.44485,100000.00000
0.250,0.03273676,0.14,51.57742,100000.00000
0.250,0.03273676,0.30,15.96646,100000.00000
0.250,0.03273676,0.07,50.15636,100000.00000
0.250,0.03273676,0.49,143.89486,100000.00000
0.250,0.03273676,0.32,160.29491,100000.00000
0.250,0.03273676,0.05,41.18367,100000.00000
0.250,0.03273676,0.22,88.67252,100000.00000
0.250,0.03273676,0.50,157.13025,100000.00000
0.250,0.03273676,0.17,103.58535,100000.00000
0.250,0.03273676,0.23,67.47670,100000.00000
0.250,0.03273676,0.60,124.86280,6614.64613
0.250,0.03273676,0.37,142.92453,100000.00000
0.250,0.03273676,0.34,27.78529,100000.00000
0.250,0.03273676,0.28,70.60393,100000.00000
0.250,0.03273676,0.12,17.49177,100000.00000
0.250,0.03273676,0.25,29.27105,100000.00000
0.250,0.03273676,0.47,162.00336,100000.00000
0.250,0.03273676,0.28,92.51811,100000.00000
0.250,0.03273676,0.24,8.18035,100000.00000
0.250,0.03273676,0.39,163.52110,100000.00000
0.250,0.03273676,0.25,130.62951,100000.00000
0.250,0.03273676,0.12,153.20460,100000.00000
0.250,0.03273676,0.08,92.17675,100000.00000
0.250,0.03273676,0.50,177.78024,100000.00000
0.250,0.03273676,0.07,137.09153,100000.00000
0.250,0.03273676,0.39,125.39715,100000.00000
0.250,0.03273676,0.54,63.02255,26261.64209
0.250,0.03273676,0.38,61.57471,100000.00000
0.250,0.03273676,0.20,161.19418,100000.00000
0.250,0.03273676,0.24,50.57337,100000.00000
0.250,0.03273676,0.59,127.47098,100000.00000
0.250,0.03273676,0.09,62.85772,100000.00000
