#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.298,0.00200,0.29800,0.00010,0.26619,8.00400e+09
0.301,0.00200,0.30100,0.00010,0.25880,8.54200e+09
0.160,0.00225,0.16002,0.00010,0.60601,1.24000e+08
0.304,0.00200,0.30400,0.00010,0.25142,9.11100e+09
0.307,0.00200,0.30700,0.00010,0.24403,9.71200e+09
0.163,0.00225,0.16302,0.00010,0.59862,1.40000e+08
0.166,0.00225,0.16606,0.00010,0.59123,1.58000e+08
0.310,0.00200,0.30838,0.00010,0.23664,1.00000e+10
0.313,0.00200,0.30838,0.00010,0.22925,1.00000e+10
0.169,0.00225,0.16911,0.00010,0.58385,1.78000e+08
0.172,0.00225,0.17202,0.00010,0.57646,1.99000e+08
0.175,0.00225,0.17504,0.00010,0.56907,2.23000e+08
0.316,0.00200,0.30838,0.00010,0.22187,1.00000e+10
0.319,0.00200,0.30838,0.00010,0.21448,1.00000e+10
0.322,0.00200,0.30838,0.00010,0.20709,1.00000e+10
0.178,0.00225,0.17802,0.00010,0.56168,2.49000e+08
0.325,0.00200,0.30838,0.00010,0.19970,1.00000e+10
0.181,0.00225,0.18105,0.00010,0.55430,2.78000e+08
0.184,0.00225,0.18401,0.00010,0.54691,3.09000e+08
0.187,0.00225,0.18706,0.00010,0.53952,3.44000e+08
0.328,0.00200,0.30838,0.00010,0.19232,1.00000e+10
0.190,0.00225,0.19002,0.00010,0.53213,3.81000e+08
0.193,0.00225,0.19302,0.00010,0.52475,4.22000e+08
0.331,0.00200,0.30838,0.00010,0.18493,1.00000e+10
0.196,0.00225,0.19605,0.00010,0.51736,4.67000e+08
0.334,0.00200,0.30838,0.00010,0.17754,1.00000e+10
0.199,0.00225,0.19901,0.00010,0.50997,5.15000e+08
0.202,0.00225,0.20203,0.00010,0.50259,5.68000e+08
0.340,0.00200,0.30838,0.00010,0.16277,1.00000e+10
0.337,0.00200,0.30838,0.00010,0.17016,1.00000e+10
0.205,0.00225,0.20502,0.00010,0.49520,6.25000e+08
0.208,0.00225,0.20802,0.00010,0.48781,6.87000e+08
0.211,0.00225,0.21101,0.00010,0.48042,7.54000e+08
0.343,0.00200,0.30838,0.00010,0.15538,1.00000e+10
0.214,0.00225,0.21403,0.00010,0.47304,8.27000e+08
0.217,0.00225,0.21702,0.00010,0.46565,9.05000e+08
0.349,0.00200,0.30838,0.00010,0.14061,1.00000e+10
0.352,0.00200,0.30838,0.00010,0.13322,1.00000e+10
0.220,0.00225,0.22003,0.00010,0.45826,9.90000e+08
0.223,0.00225,0.22302,0.00010,0.45087,1.08100e+09
0.355,0.00200,0.30838,0.00010,0.12583,1.00000e+10
0.226,0.00225,0.22602,0.00010,0.44349,1.17900e+09
0.358,0.00200,0.30838,0.00010,0.11844,1.00000e+10
0.229,0.00225,0.22900,0.00010,0.43610,1.28400e+09
0.232,0.00225,0.23202,0.00010,0.42871,1.39800e+09
0.361,0.00200,0.30838,0.00010,0.11106,1.00000e+10
0.235,0.00225,0.23502,0.00010,0.42132,1.52000e+09
0.346,0.00200,0.30838,0.00010,0.14799,1.00000e+10
0.364,0.00200,0.30838,0.00010,0.10367,1.00000e+10
0.238,0.00225,0.23800,0.00010,0.41394,1.65000e+09
0.241,0.00225,0.24100,0.00010,0.40655,1.79000e+09
0.244,0.00225,0.24400,0.00010,0.39916,1.94000e+09
0.367,0.00200,0.30838,0.00010,0.09628,1.00000e+10
0.247,0.00225,0.24701,0.00010,0.39178,2.10100e+09
0.250,0.00225,0.25000,0.00010,0.38439,2.27200e+09
0.370,0.00200,0.30838,0.00010,0.08889,1.00000e+10
0.253,0.00225,0.25302,0.00010,0.37700,2.45600e+09
0.256,0.00225,0.25601,0.00010,0.36961,2.65100e+09
0.373,0.00200,0.30838,0.00010,0.08151,1.00000e+10
0.259,0.00225,0.25901,0.00010,0.36223,2.86000e+09
0.262,0.00225,0.26201,0.00010,0.35484,3.08200e+09
0.376,0.00200,0.30838,0.00010,0.07412,1.00000e+10
0.265,0.00225,0.26501,0.00010,0.34745,3.31900e+09
0.268,0.00225,0.26801,0.00010,0.34006,3.57100e+09
0.379,0.00200,0.30838,0.00010,0.06673,1.00000e+10
0.271,0.00225,0.27101,0.00010,0.33268,3.83900e+09
0.382,0.00200,0.30838,0.00010,0.05934,1.00000e+10
