#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.178,0.00200,0.17800,0.01022,0.56168,7.53400e+09
0.349,0.00175,0.18402,0.01120,0.14061,1.00000e+10
0.352,0.00175,0.18403,0.01120,0.13322,1.00000e+10
0.355,0.00175,0.18403,0.01120,0.12583,1.00000e+10
0.358,0.00175,0.18403,0.01120,0.11844,1.00000e+10
0.361,0.00175,0.18404,0.01120,0.11106,1.00000e+10
0.364,0.00175,0.18404,0.01120,0.10367,1.00000e+10
0.181,0.00200,0.18100,0.01070,0.55430,8.43100e+09
0.367,0.00175,0.18404,0.01120,0.09628,1.00000e+10
0.370,0.00175,0.18404,0.01120,0.08889,1.00000e+10
0.373,0.00175,0.18405,0.01120,0.08151,1.00000e+10
0.382,0.00175,0.18405,0.01120,0.05934,1.00000e+10
0.379,0.00175,0.18405,0.01120,0.06673,1.00000e+10
0.376,0.00175,0.18405,0.01120,0.07412,1.00000e+10
0.184,0.00200,0.18400,0.01119,0.54691,9.41900e+09
0.187,0.00200,0.18570,0.01147,0.53952,1.00000e+10
0.190,0.00200,0.18582,0.01149,0.53214,1.00000e+10
0.193,0.00200,0.18594,0.01151,0.52475,1.00000e+10
0.196,0.00200,0.18604,0.01153,0.51736,1.00000e+10
0.199,0.00200,0.18614,0.01155,0.50997,1.00000e+10
0.202,0.00200,0.18623,0.01156,0.50259,1.00000e+10
0.205,0.00200,0.18631,0.01158,0.49520,1.00000e+10
0.208,0.00200,0.18639,0.01159,0.48781,1.00000e+10
0.211,0.00200,0.18647,0.01160,0.48042,1.00000e+10
0.214,0.00200,0.18653,0.01161,0.47304,1.00000e+10
0.217,0.00200,0.18660,0.01163,0.46565,1.00000e+10
0.220,0.00200,0.18665,0.01164,0.45826,1.00000e+10
0.223,0.00200,0.18671,0.01164,0.45087,1.00000e+10
0.226,0.00200,0.18676,0.01165,0.44349,1.00000e+10
0.232,0.00200,0.18685,0.01167,0.42871,1.00000e+10
0.229,0.00200,0.18681,0.01166,0.43610,1.00000e+10
0.235,0.00200,0.18689,0.01168,0.42132,1.00000e+10
0.238,0.00200,0.18693,0.01168,0.41394,1.00000e+10
0.241,0.00200,0.18697,0.01169,0.40655,1.00000e+10
0.244,0.00200,0.18700,0.01170,0.39916,1.00000e+10
0.247,0.00200,0.18703,0.01170,0.39178,1.00000e+10
0.250,0.00200,0.18706,0.01171,0.38439,1.00000e+10
0.256,0.00200,0.18712,0.01172,0.36961,1.00000e+10
0.253,0.00200,0.18709,0.01171,0.37700,1.00000e+10
0.259,0.00200,0.18714,0.01172,0.36223,1.00000e+10
0.262,0.00200,0.18717,0.01172,0.35484,1.00000e+10
0.265,0.00200,0.18719,0.01173,0.34745,1.00000e+10
0.268,0.00200,0.18721,0.01173,0.34006,1.00000e+10
0.271,0.00200,0.18723,0.01174,0.33268,1.00000e+10
0.274,0.00200,0.18725,0.01174,0.32529,1.00000e+10
0.277,0.00200,0.18727,0.01174,0.31790,1.00000e+10
0.280,0.00200,0.18728,0.01174,0.31051,1.00000e+10
0.283,0.00200,0.18730,0.01175,0.30313,1.00000e+10
0.286,0.00200,0.18731,0.01175,0.29574,1.00000e+10
0.289,0.00200,0.18733,0.01175,0.28835,1.00000e+10
0.292,0.00200,0.18734,0.01175,0.28097,1.00000e+10
0.295,0.00200,0.18735,0.01176,0.27358,1.00000e+10
0.298,0.00200,0.18736,0.01176,0.26619,1.00000e+10
0.301,0.00200,0.18737,0.01176,0.25880,1.00000e+10
0.304,0.00200,0.18738,0.01176,0.25142,1.00000e+10
0.307,0.00200,0.18739,0.01176,0.24403,1.00000e+10
0.310,0.00200,0.18740,0.01177,0.23664,1.00000e+10
0.313,0.00200,0.18741,0.01177,0.22925,1.00000e+10
0.316,0.00200,0.18742,0.01177,0.22187,1.00000e+10
0.319,0.00200,0.18743,0.01177,0.21448,1.00000e+10
0.322,0.00200,0.18744,0.01177,0.20709,1.00000e+10
0.325,0.00200,0.18744,0.01177,0.19970,1.00000e+10
0.328,0.00200,0.18745,0.01177,0.19232,1.00000e+10
0.331,0.00200,0.18746,0.01177,0.18493,1.00000e+10
0.337,0.00200,0.18747,0.01178,0.17016,1.00000e+10
0.340,0.00200,0.18747,0.01178,0.16277,1.00000e+10
0.334,0.00200,0.18746,0.01178,0.17754,1.00000e+10
0.160,0.00225,0.16000,0.00764,0.60601,3.29400e+09
0.343,0.00200,0.18748,0.01178,0.15538,1.00000e+10
0.349,0.00200,0.18749,0.01178,0.14061,1.00000e+10
0.346,0.00200,0.18748,0.01178,0.14799,1.00000e+10
0.163,0.00225,0.16300,0.00804,0.59862,3.72900e+09
0.166,0.00225,0.16600,0.00845,0.59123,4.21200e+09
0.352,0.00200,0.18749,0.01178,0.13322,1.00000e+10
0.355,0.00200,0.18749,0.01178,0.12583,1.00000e+10
0.358,0.00200,0.18750,0.01178,0.11844,1.00000e+10
0.361,0.00200,0.18750,0.01178,0.11106,1.00000e+10
0.169,0.00225,0.16900,0.00887,0.58385,4.74800e+09
0.364,0.00200,0.18750,0.01178,0.10367,1.00000e+10
0.367,0.00200,0.18751,0.01178,0.09628,1.00000e+10
0.370,0.00200,0.18751,0.01178,0.08889,1.00000e+10
0.172,0.00225,0.17200,0.00931,0.57646,5.34200e+09
0.373,0.00200,0.18751,0.01178,0.08151,1.00000e+10
0.376,0.00200,0.18751,0.01178,0.07412,1.00000e+10
0.175,0.00225,0.17500,0.00975,0.56907,5.99900e+09
0.379,0.00200,0.18752,0.01179,0.06673,1.00000e+10
0.382,0.00200,0.18752,0.01179,0.05934,1.00000e+10
0.178,0.00225,0.17800,0.01022,0.56168,6.72400e+09
0.181,0.00225,0.18100,0.01069,0.55430,7.52400e+09
0.184,0.00225,0.18400,0.01118,0.54691,8.40400e+09
0.187,0.00225,0.18700,0.01169,0.53952,9.37300e+09
0.190,0.00225,0.18885,0.01201,0.53214,1.00000e+10
0.193,0.00225,0.18897,0.01203,0.52475,1.00000e+10
0.196,0.00225,0.18908,0.01205,0.51736,1.00000e+10
0.202,0.00225,0.18927,0.01208,0.50259,1.00000e+10
0.199,0.00225,0.18917,0.01206,0.50997,1.00000e+10
0.205,0.00225,0.18935,0.01210,0.49520,1.00000e+10
0.208,0.00225,0.18943,0.01211,0.48781,1.00000e+10
0.211,0.00225,0.18951,0.01212,0.48042,1.00000e+10
0.214,0.00225,0.18957,0.01214,0.47304,1.00000e+10
0.217,0.00225,0.18964,0.01215,0.46565,1.00000e+10
0.223,0.00225,0.18975,0.01217,0.45087,1.00000e+10
0.226,0.00225,0.18980,0.01218,0.44349,1.00000e+10
0.220,0.00225,0.18970,0.01216,0.45826,1.00000e+10
0.229,0.00225,0.18985,0.01218,0.43610,1.00000e+10
0.232,0.00225,0.18990,0.01219,0.42871,1.00000e+10
0.235,0.00225,0.18994,0.01220,0.42132,1.00000e+10
