#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.283,0.00225,0.28300,0.00913,0.30313,5.85600e+09
0.286,0.00225,0.28600,0.00940,0.29574,6.32800e+09
0.289,0.00225,0.28900,0.00967,0.28835,6.83700e+09
0.292,0.00225,0.29200,0.00994,0.28097,7.38500e+09
0.295,0.00225,0.29500,0.01022,0.27358,7.97700e+09
0.298,0.00225,0.29800,0.01051,0.26619,8.61500e+09
0.301,0.00225,0.30100,0.01080,0.25880,9.30400e+09
0.304,0.00225,0.30383,0.01108,0.25142,1.00000e+10
0.307,0.00225,0.30413,0.01111,0.24403,1.00000e+10
0.310,0.00225,0.30442,0.01114,0.23664,1.00000e+10
0.160,0.00250,0.16004,0.00194,0.60601,1.08000e+08
0.316,0.00225,0.30495,0.01119,0.22187,1.00000e+10
0.313,0.00225,0.30470,0.01117,0.22925,1.00000e+10
0.163,0.00250,0.16319,0.00205,0.59862,1.23000e+08
0.319,0.00225,0.30520,0.01122,0.21448,1.00000e+10
