#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.10,134.36845,1000000.00000
0.250,0.01217904,0.51,6.66137,1000000.00000
0.250,0.01217904,0.16,8.28048,1000000.00000
0.250,0.01217904,0.12,169.28254,1000000.00000
0.250,0.01217904,0.34,58.26226,1000000.00000
0.250,0.01217904,0.36,157.89610,1000000.00000
0.250,0.01217904,0.38,130.00546,1000000.00000
0.250,0.01217904,0.31,6.60298,1000000.00000
0.250,0.01217904,0.59,111.76479,845525.55482
0.250,0.01217904,0.28,24.54687,1000000.00000
0.250,0.01217904,0.41,81.43911,1000000.00000
0.250,0.01217904,0.32,51.07966,1000000.00000
0.250,0.01217904,0.59,104.79068,168.36092
0.250,0.01217904,0.53,53.33546,1000000.00000
0.250,0.01217904,0.00,107.75853,1000000.00000
0.250,0.01217904,0.53,51.70302,1000000.00000
0.250,0.01217904,0.09,99.93615,1000000.00000
0.250,0.01217904,0.05,29.01983,1000000.00000
0.250,0.01217904,0.58,28.93678,1000000.00000
0.250,0.01217904,0.43,81.59199,1000000.00000
0.250,0.01217904,0.51,13.85158,1000000.00000
0.250,0.01217904,0.14,148.06810,1000000.00000
0.250,0.01217904,0.23,94.15761,1000000.00000
0.250,0.01217904,0.06,60.77073,1000000.00000
0.250,0.01217904,0.05,160.66062,1000000.00000
0.250,0.01217904,0.60,3.98224,1000000.00000
0.250,0.01217904,0.24,63.60340,1000000.00000
0.250,0.01217904,0.12,57.04596,1000000.00000
0.250,0.01217904,0.59,62.25895,1000000.00000
0.250,0.01217904,0.55,16.46763,1000000.00000
0.250,0.01217904,0.07,89.50473,1000000.00000
0.250,0.01217904,0.43,118.60631,1000000.00000
0.250,0.01217904,0.57,111.35005,1000000.00000
0.250,0.01217904,0.12,53.00080,1000000.00000
0.250,0.01217904,0.23,174.57819,1000000.00000
0.250,0.01217904,0.03,50.56821,1000000.00000
0.250,0.01217904,0.27,157.79765,1000000.00000
0.250,0.01217904,0.43,155.12141,1000000.00000
0.250,0.01217904,0.13,145.68501,1000000.00000
0.250,0.01217904,0.53,63.83199,1000000.00000
0.250,0.01217904,0.42,12.07377,1000000.00000
0.250,0.01217904,0.05,156.86291,1000000.00000
